LogName,EventCode
Application,406
Application,408
Application,410
Application,466
Application,596
Application,607
Application,743
Application,744
Application,745
Application,746
Application,754
Application,773
Application,779
Application,781
Application,937
Application,955
Application,52257
Application,54432
Application,50023
Application,50020
Application,49912
Application,49910
Application,46920
Application,45056
Application,41111
Application,41110
Application,41092
Application,40968
Application,36886
Application,36882
Application,36876
Application,36874
Application,36869
Application,35716
Application,33218
Application,33217
Application,30090
Application,30024
Application,26228
Application,26076
Application,26018
Application,23448
Application,20487
Application,17811
Application,17199
Application,17162
Application,17148
Application,17147
Application,17136
Application,17125
Application,17126
Application,17118
Application,17101
Application,16394
Application,15009
Application,14002
Application,13051
Application,10999
Application,10981
Application,10223
Application,10142
Application,10140
Application,10127
Application,10126
Application,10106
Application,10030
Application,10022
Application,10021
Application,10011
Application,9027
Application,9019
Application,8623
Application,8333
Application,8225
Application,8224
Application,7430
Application,6527
Application,6036
Application,6025
Application,5617
Application,5615
Application,5611
Application,5604
Application,5602
Application,4314
Application,3508
Application,3408
Application,2105
Application,2104
Application,2102
Application,2028
Application,2020
Security,521
Security,1100
Security,1102
Security,1105
Security,1107
Security,1108
Security,4608
Security,4610
Security,4611
Security,4612
Security,4614
Security,4616
Security,4622
Security,4624
Security,4625
Security,4627
Security,4634
Security,4647
Security,4648
Security,4649
Security,4653
Security,4656
Security,4657
Security,4658
Security,4659
Security,4660
Security,4661
Security,4662
Security,4663
Security,4664
Security,4670
Security,4672
Security,4673
Security,4674
Security,4675
Security,4688
Security,4689
Security,4690
Security,4692
Security,4696
Security,4697
Security,4698
Security,4699
Security,4700
Security,4701
Security,4702
Security,4703
Security,4704
Security,4705
Security,4714
Security,4716
Security,4717
Security,4718
Security,4719
Security,4720
Security,4722
Security,4723
Security,4724
Security,4725
Security,4726
Security,4727
Security,4728
Security,4729
Security,4730
Security,4731
Security,4732
Security,4733
Security,4734
Security,4735
Security,4737
Security,4738
Security,4739
Security,4740
Security,4741
Security,4742
Security,4743
Security,4745
Security,4746
Security,4747
Security,4750
Security,4751
Security,4752
Security,4754
Security,4755
Security,4756
Security,4757
Security,4758
Security,4760
Security,4761
Security,4762
Security,4764
Security,4765
Security,4767
Security,4768
Security,4769
Security,4770
Security,4771
Security,4774
Security,4776
Security,4778
Security,4779
Security,4780
Security,4781
Security,4793
Security,4797
Security,4798
Security,4799
Security,4800
Security,4801
Security,4825
Security,4826
Security,4902
Security,4904
Security,4905
Security,4907
Security,4911
Security,4928
Security,4929
Security,4931
Security,4932
Security,4933
Security,4944
Security,4945
Security,4946
Security,4947
Security,4948
Security,4950
Security,4953
Security,4954
Security,4956
Security,4957
Security,4965
Security,4985
Security,5024
Security,5031
Security,5033
Security,5038
Security,5042
Security,5045
Security,5056
Security,5058
Security,5059
Security,5061
Security,5136
Security,5137
Security,5139
Security,5140
Security,5141
Security,5142
Security,5143
Security,5144
Security,5145
Security,5152
Security,5154
Security,5157
Security,5158
Security,5378
Security,5379
Security,5381
Security,5382
Security,5440
Security,5441
Security,5442
Security,5444
Security,5446
Security,5447
Security,5448
Security,5449
Security,5450
Security,5478
Security,5633
Security,5888
Security,5889
Security,5890
Security,6144
Security,6145
Security,6272
Security,6273
Security,6274
Security,6275
Security,6278
Security,6281
Security,6406
Security,6408
Security,6416
Security,8222
Security,8223
System,5007
System,5175
System,5211
System,5815
System,5827
System,5830
System,6038
System,6148
System,6149
System,6153
System,57
System,304
System,308
System,1281
System,7045
System,8009
System,8010
System,8012
System,8014
System,8015
System,8016
System,8018
System,8019
System,8032
System,10148
System,10149
System,14553
System,14554
System,16983
System,16984
System,16977
System,16983
System,36874
System,36876
System,36886
System,40968
System,45056
System,50036
System,51046
Microsoft-Windows-NTLM/Operational,8006
System,36871
System,36887
Application,3031
System,1004
Application,12310
